"QueryType";"Exchange";"NameExchange";"Preference";"Name";"Type";"CharacterSet";"Section";"DataLength";"TTL"
"MX";"ASPMX.L.GOOGLE.COM";"ASPMX.L.GOOGLE.COM";"10";"presentrotterdam.nl";"MX";"Unicode";"Answer";"54";"21599"
"MX";"ASPMX2.GOOGLEMAIL.COM";"ASPMX2.GOOGLEMAIL.COM";"30";"presentrotterdam.nl";"MX";"Unicode";"Answer";"60";"21599"
"MX";"ASPMX3.GOOGLEMAIL.COM";"ASPMX3.GOOGLEMAIL.COM";"30";"presentrotterdam.nl";"MX";"Unicode";"Answer";"60";"21599"
"MX";"ALT1.ASPMX.L.GOOGLE.COM";"ALT1.ASPMX.L.GOOGLE.COM";"20";"presentrotterdam.nl";"MX";"Unicode";"Answer";"64";"21599"
"MX";"ASPMX4.GOOGLEMAIL.COM";"ASPMX4.GOOGLEMAIL.COM";"30";"presentrotterdam.nl";"MX";"Unicode";"Answer";"60";"21599"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentsmallingerland.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentsneek.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"presentsoest-nl.mail.protection.outlook.com";"presentsoest-nl.mail.protection.outlook.com";"0";"presentsoest.nl";"MX";"Unicode";"Answer";"104";"1439"
"MX";"presentsteenwijkerland-nl.mail.protection.outlook.com";"presentsteenwijkerland-nl.mail.protection.outlook.com";"0";"presentsteenwijkerland.nl";"MX";"Unicode";"Answer";"124";"3599"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentsudwestfryslan.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"presentterneuzen-nl.mail.protection.outlook.com";"presentterneuzen-nl.mail.protection.outlook.com";"0";"presentterneuzen.nl";"MX";"Unicode";"Answer";"112";"3599"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presenttexel.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"mail.presenttiel.nl";"mail.presenttiel.nl";"10";"presenttiel.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presenttilburg.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"presentutrecht-nl.mail.protection.outlook.com";"presentutrecht-nl.mail.protection.outlook.com";"10";"presentutrecht.nl";"MX";"Unicode";"Answer";"108";"856"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentveenendaal.nl";"MX";"Unicode";"Answer";"56";"1255"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentvlaardingen.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentwageningen.nl";"MX";"Unicode";"Answer";"56";"1255"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentwalcheren.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentwestbetuwe.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentwinterswijk.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"presentwoerden-nl.mail.protection.outlook.com";"presentwoerden-nl.mail.protection.outlook.com";"0";"presentwoerden.nl";"MX";"Unicode";"Answer";"108";"3599"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentzaanstad.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"presentzaanstreek-nl.mail.protection.outlook.com";"presentzaanstreek-nl.mail.protection.outlook.com";"0";"presentzaanstreek.nl";"MX";"Unicode";"Answer";"114";"1439"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentzeewolde.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentzoetermeer.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentzuidoostfriesland.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"mail.presentmail.nl";"mail.presentmail.nl";"10";"presentzuidoostgroningen.nl";"MX";"Unicode";"Answer";"56";"1439"
"MX";"presentzwolle-nl.mail.protection.outlook.com";"presentzwolle-nl.mail.protection.outlook.com";"10";"presentzwolle.nl";"MX";"Unicode";"Answer";"106";"1439"
"MX";"stichtingpresent-nl.mail.protection.outlook.com";"stichtingpresent-nl.mail.protection.outlook.com";"10";"stichtingpresent.nl";"MX";"Unicode";"Answer";"112";"1439"
