"QueryType";"Administrator";"PrimaryServer";"NameAdministrator";"SerialNumber";"TimeToZoneRefresh";"TimeToZoneFailureRetry";"TimeToExpiration";"DefaultTTL";"Name";"Type";"CharacterSet";"Section";"DataLength";"TTL"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presenthouten.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014060100";"14400";"3600";"604800";"3600";"presenthss.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentkampen.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentleeuwarden.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentleiden.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentlelystad.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentlisse.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"hostmaster.presentmaassluis.nl";"ns1-415.axc.nl";"hostmaster.presentmaassluis.nl";"2020122200";"3600";"3600";"1209600";"86400";"presentmaassluis.nl";"SOA";"Unicode";"Answer";"132";"3599"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentmaastricht.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentmeppel.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2017032700";"14400";"3600";"604800";"3600";"presentmidden-groningen.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014112400";"14400";"3600";"604800";"3600";"presentnederland.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentnet.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentnijmegen.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014060100";"14400";"3600";"604800";"3600";"presentnof.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014060100";"14400";"3600";"604800";"3600";"presentnoordgroningen.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentnoordoostpolder.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2015121700";"14400";"3600";"604800";"3600";"presentnoordwestfriesland.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentnunspeet.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"hostmaster.presentnwf.nl";"ns1-415.axc.nl";"hostmaster.presentnwf.nl";"2020122816";"3600";"3600";"1209600";"86400";"presentnwf.nl";"SOA";"Unicode";"Answer";"120";"3599"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentoegstgeest.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentoldebroek.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentoldenzaal.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentopsterland.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"hostmaster.presentpapendrecht.nl";"ns1-415.axc.nl";"hostmaster.presentpapendrecht.nl";"2020122200";"3600";"3600";"1209600";"86400";"presentpapendrecht.nl";"SOA";"Unicode";"Answer";"136";"3599"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2016042100";"14400";"3600";"604800";"3600";"presentparkstad.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentpurmerend.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentputten.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2015011300";"14400";"3600";"604800";"3600";"presentridderkerk.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"hostmaster.tiscomhosting.nl";"ns1.tiscomhosting.nl";"hostmaster.tiscomhosting.nl";"1337003958";"14400";"3600";"2419200";"14400";"presentrotterdam.nl";"SOA";"Unicode";"Answer";"138";"14399"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentsmallingerland.nl";"SOA";"Unicode";"Answer";"100";"1439"
"SOA";"info.hosted.nl";"dns1.hosted.nl";"info.hosted.nl";"2014110300";"14400";"3600";"604800";"3600";"presentsneek.nl";"SOA";"Unicode";"Answer";"100";"1439"
